n,x,monthly_payment,monthly_return,profit_after_yrs,5yrs,10yrs,20yrs,40yrs
2,0.6,1440.0,3898.46,0.74,199347.6,433255.2,901070.4,1836700.8
2,0.7,1680.0,3908.46,0.86,194187.6,428695.2,897710.4,1835740.8
2,0.7999999999999999,1919.9999999999998,3918.46,0.98,189027.6,424135.2,894350.4,1834780.8
2,0.8999999999999999,2160.0,3928.46,1.1,183867.6,419575.2,890990.4,1833820.8
2,0.9999999999999999,2399.9999999999995,3938.46,1.22,178707.6,415015.2,887630.4,1832860.8
2,1.0999999999999999,2639.9999999999995,3948.46,1.34,173547.6,410455.2,884270.4,1831900.8
2,1.2,2880.0,3958.46,1.46,168387.6,405895.2,880910.4,1830940.8
2,1.3,3120.0,3968.46,1.57,163227.6,401335.2,877550.4,1829980.8
2,1.4000000000000001,3360.0000000000005,3978.46,1.69,158067.6,396775.2,874190.4,1829020.8
2,1.5000000000000002,3600.0000000000005,3988.46,1.81,152907.6,392215.2,870830.4,1828060.8
2,1.6000000000000003,3840.000000000001,3998.46,1.92,147747.6,387655.2,867470.4,1827100.8
2,1.7000000000000004,4080.000000000001,4008.46,2.04,142587.6,383095.2,864110.4,1826140.8
2,1.8000000000000005,4320.000000000001,4018.46,2.15,137427.6,378535.2,860750.4,1825180.8
2,1.9000000000000006,4560.000000000002,4028.46,2.26,132267.6,373975.2,857390.4,1824220.8
2,2.0000000000000004,4800.000000000001,4038.46,2.38,127107.6,369415.2,854030.4,1823260.8
2,2.1000000000000005,5040.000000000001,4048.46,2.49,121947.6,364855.2,850670.4,1822300.8
2,2.2000000000000006,5280.000000000002,4058.46,2.6,116787.6,360295.2,847310.4,1821340.8
2,2.3000000000000007,5520.000000000002,4068.46,2.71,111627.6,355735.2,843950.4,1820380.8
2,2.400000000000001,5760.000000000002,4078.46,2.82,106467.6,351175.2,840590.4,1819420.8
2,2.500000000000001,6000.000000000002,4088.46,2.94,101307.6,346615.2,837230.4,1818460.8
2,2.600000000000001,6240.000000000003,4098.46,3.05,96147.6,342055.2,833870.4,1817500.8
2,2.700000000000001,6480.000000000003,4108.46,3.15,90987.6,337495.2,830510.4,1816540.8
2,2.800000000000001,6720.000000000003,4118.46,3.26,85827.6,332935.2,827150.4,1815580.8
2,2.9000000000000012,6960.000000000003,4128.46,3.37,80667.6,328375.2,823790.4,1814620.8
2,3.0000000000000013,7200.000000000004,4138.46,3.48,75507.6,323815.2,820430.4,1813660.8
3,0.6,1440.0,4027.69,1.07,189821.4,431482.8,914805.6,1881451.2
3,0.7,1680.0,4042.69,1.25,182081.4,424642.8,909765.6,1880011.2
3,0.7999999999999999,1919.9999999999998,4057.69,1.42,174341.4,417802.8,904725.6,1878571.2
3,0.8999999999999999,2160.0,4072.69,1.59,166601.4,410962.8,899685.6,1877131.2
3,0.9999999999999999,2399.9999999999995,4087.69,1.76,158861.4,404122.8,894645.6,1875691.2
3,1.0999999999999999,2639.9999999999995,4102.69,1.93,151121.4,397282.8,889605.6,1874251.2
3,1.2,2880.0,4117.69,2.1,143381.4,390442.8,884565.6,1872811.2
3,1.3,3120.0,4132.69,2.26,135641.4,383602.8,879525.6,1871371.2
3,1.4000000000000001,3360.0000000000005,4147.69,2.43,127901.4,376762.8,874485.6,1869931.2
3,1.5000000000000002,3600.0000000000005,4162.69,2.59,120161.4,369922.8,869445.6,1868491.2
3,1.6000000000000003,3840.000000000001,4177.69,2.76,112421.4,363082.8,864405.6,1867051.2
3,1.7000000000000004,4080.000000000001,4192.69,2.92,104681.4,356242.8,859365.6,1865611.2
3,1.8000000000000005,4320.000000000001,4207.69,3.08,96941.4,349402.8,854325.6,1864171.2
3,1.9000000000000006,4560.000000000002,4222.69,3.24,89201.4,342562.8,849285.6,1862731.2
3,2.0000000000000004,4800.000000000001,4237.69,3.4,81461.4,335722.8,844245.6,1861291.2
3,2.1000000000000005,5040.000000000001,4252.69,3.56,73721.4,328882.8,839205.6,1859851.2
3,2.2000000000000006,5280.000000000002,4267.69,3.71,65981.4,322042.8,834165.6,1858411.2
3,2.3000000000000007,5520.000000000002,4282.69,3.87,58241.4,315202.8,829125.6,1856971.2
3,2.400000000000001,5760.000000000002,4297.69,4.02,50501.4,308362.8,824085.6,1855531.2
3,2.500000000000001,6000.000000000002,4312.69,4.17,42761.4,301522.8,819045.6,1854091.2
3,2.600000000000001,6240.000000000003,4327.69,4.33,35021.4,294682.8,814005.6,1852651.2
3,2.700000000000001,6480.000000000003,4342.69,4.48,27281.4,287842.8,808965.6,1851211.2
3,2.800000000000001,6720.000000000003,4357.69,4.63,19541.4,281002.8,803925.6,1849771.2
3,2.9000000000000012,6960.000000000003,4372.69,4.78,11801.4,274162.8,798885.6,1848331.2
3,3.0000000000000013,7200.000000000004,4387.69,4.92,4061.4,267322.8,793845.6,1846891.2
4,0.6,1440.0,4156.92,1.39,180295.2,429710.4,928540.8,1926201.6
4,0.7,1680.0,4176.92,1.61,169975.2,420590.4,921820.8,1924281.6
4,0.7999999999999999,1919.9999999999998,4196.92,1.83,159655.2,411470.4,915100.8,1922361.6
4,0.8999999999999999,2160.0,4216.92,2.05,149335.2,402350.4,908380.8,1920441.6
4,0.9999999999999999,2399.9999999999995,4236.92,2.27,139015.2,393230.4,901660.8,1918521.6
4,1.0999999999999999,2639.9999999999995,4256.92,2.48,128695.2,384110.4,894940.8,1916601.6
4,1.2,2880.0,4276.92,2.69,118375.2,374990.4,888220.8,1914681.6
4,1.3,3120.0,4296.92,2.9,108055.2,365870.4,881500.8,1912761.6
4,1.4000000000000001,3360.0000000000005,4316.92,3.11,97735.2,356750.4,874780.8,1910841.6
4,1.5000000000000002,3600.0000000000005,4336.92,3.32,87415.2,347630.4,868060.8,1908921.6
4,1.6000000000000003,3840.000000000001,4356.92,3.53,77095.2,338510.4,861340.8,1907001.6
4,1.7000000000000004,4080.000000000001,4376.92,3.73,66775.2,329390.4,854620.8,1905081.6
4,1.8000000000000005,4320.000000000001,4396.92,3.93,56455.2,320270.4,847900.8,1903161.6
4,1.9000000000000006,4560.000000000002,4416.92,4.13,46135.2,311150.4,841180.8,1901241.6
4,2.0000000000000004,4800.000000000001,4436.92,4.33,35815.2,302030.4,834460.8,1899321.6
4,2.1000000000000005,5040.000000000001,4456.92,4.52,25495.2,292910.4,827740.8,1897401.6
4,2.2000000000000006,5280.000000000002,4476.92,4.72,15175.2,283790.4,821020.8,1895481.6
4,2.3000000000000007,5520.000000000002,4496.92,4.91,4855.2,274670.4,814300.8,1893561.6
4,2.400000000000001,5760.000000000002,4516.92,5.1,-5464.8,265550.4,807580.8,1891641.6
4,2.500000000000001,6000.000000000002,4536.92,5.29,-15784.8,256430.4,800860.8,1889721.6
4,2.600000000000001,6240.000000000003,4556.92,5.48,-26104.8,247310.4,794140.8,1887801.6
4,2.700000000000001,6480.000000000003,4576.92,5.66,-36424.8,238190.4,787420.8,1885881.6
4,2.800000000000001,6720.000000000003,4596.92,5.85,-46744.8,229070.4,780700.8,1883961.6
4,2.9000000000000012,6960.000000000003,4616.92,6.03,-57064.8,219950.4,773980.8,1882041.6
4,3.0000000000000013,7200.000000000004,4636.92,6.21,-67384.8,210830.4,767260.8,1880121.6
5,0.6,1440.0,4286.15,1.68,170769.0,427938.0,942276.0,1970952.0
5,0.7,1680.0,4311.15,1.95,157869.0,416538.0,933876.0,1968552.0
5,0.7999999999999999,1919.9999999999998,4336.15,2.21,144969.0,405138.0,925476.0,1966152.0
5,0.8999999999999999,2160.0,4361.15,2.48,132069.0,393738.0,917076.0,1963752.0
5,0.9999999999999999,2399.9999999999995,4386.15,2.74,119169.0,382338.0,908676.0,1961352.0
5,1.0999999999999999,2639.9999999999995,4411.15,2.99,106269.0,370938.0,900276.0,1958952.0
5,1.2,2880.0,4436.15,3.25,93369.0,359538.0,891876.0,1956552.0
5,1.3,3120.0,4461.15,3.5,80469.0,348138.0,883476.0,1954152.0
5,1.4000000000000001,3360.0000000000005,4486.15,3.74,67569.0,336738.0,875076.0,1951752.0
5,1.5000000000000002,3600.0000000000005,4511.15,3.99,54669.0,325338.0,866676.0,1949352.0
5,1.6000000000000003,3840.000000000001,4536.15,4.23,41769.0,313938.0,858276.0,1946952.0
5,1.7000000000000004,4080.000000000001,4561.15,4.47,28869.0,302538.0,849876.0,1944552.0
5,1.8000000000000005,4320.000000000001,4586.15,4.71,15969.0,291138.0,841476.0,1942152.0
5,1.9000000000000006,4560.000000000002,4611.15,4.94,3069.0,279738.0,833076.0,1939752.0
5,2.0000000000000004,4800.000000000001,4636.15,5.18,-9831.0,268338.0,824676.0,1937352.0
5,2.1000000000000005,5040.000000000001,4661.15,5.41,-22731.0,256938.0,816276.0,1934952.0
5,2.2000000000000006,5280.000000000002,4686.15,5.63,-35631.0,245538.0,807876.0,1932552.0
5,2.3000000000000007,5520.000000000002,4711.15,5.86,-48531.0,234138.0,799476.0,1930152.0
5,2.400000000000001,5760.000000000002,4736.15,6.08,-61431.0,222738.0,791076.0,1927752.0
5,2.500000000000001,6000.000000000002,4761.15,6.3,-74331.0,211338.0,782676.0,1925352.0
5,2.600000000000001,6240.000000000003,4786.15,6.52,-87231.0,199938.0,774276.0,1922952.0
5,2.700000000000001,6480.000000000003,4811.15,6.73,-100131.0,188538.0,765876.0,1920552.0
5,2.800000000000001,6720.000000000003,4836.15,6.95,-113031.0,177138.0,757476.0,1918152.0
5,2.9000000000000012,6960.000000000003,4861.15,7.16,-125931.0,165738.0,749076.0,1915752.0
5,3.0000000000000013,7200.000000000004,4886.15,7.37,-138831.0,154338.0,740676.0,1913352.0
6,0.6,1440.0,4415.38,1.96,161242.8,426165.6,956011.2,2015702.4
6,0.7,1680.0,4445.38,2.27,145762.8,412485.6,945931.2,2012822.4
6,0.7999999999999999,1919.9999999999998,4475.38,2.57,130282.8,398805.6,935851.2,2009942.4
6,0.8999999999999999,2160.0,4505.38,2.88,114802.8,385125.6,925771.2,2007062.4
6,0.9999999999999999,2399.9999999999995,4535.38,3.18,99322.8,371445.6,915691.2,2004182.4
6,1.0999999999999999,2639.9999999999995,4565.38,3.47,83842.8,357765.6,905611.2,2001302.4
6,1.2,2880.0,4595.38,3.76,68362.8,344085.6,895531.2,1998422.4
6,1.3,3120.0,4625.38,4.05,52882.8,330405.6,885451.2,1995542.4
6,1.4000000000000001,3360.0000000000005,4655.38,4.33,37402.8,316725.6,875371.2,1992662.4
6,1.5000000000000002,3600.0000000000005,4685.38,4.61,21922.8,303045.6,865291.2,1989782.4
6,1.6000000000000003,3840.000000000001,4715.38,4.89,6442.8,289365.6,855211.2,1986902.4
6,1.7000000000000004,4080.000000000001,4745.38,5.16,-9037.2,275685.6,845131.2,1984022.4
6,1.8000000000000005,4320.000000000001,4775.38,5.43,-24517.2,262005.6,835051.2,1981142.4
6,1.9000000000000006,4560.000000000002,4805.38,5.69,-39997.2,248325.6,824971.2,1978262.4
6,2.0000000000000004,4800.000000000001,4835.38,5.96,-55477.2,234645.6,814891.2,1975382.4
6,2.1000000000000005,5040.000000000001,4865.38,6.22,-70957.2,220965.6,804811.2,1972502.4
6,2.2000000000000006,5280.000000000002,4895.38,6.47,-86437.2,207285.6,794731.2,1969622.4
6,2.3000000000000007,5520.000000000002,4925.38,6.72,-101917.2,193605.6,784651.2,1966742.4
6,2.400000000000001,5760.000000000002,4955.38,6.97,-117397.2,179925.6,774571.2,1963862.4
6,2.500000000000001,6000.000000000002,4985.38,7.22,-132877.2,166245.6,764491.2,1960982.4
6,2.600000000000001,6240.000000000003,5015.38,7.47,-148357.2,152565.6,754411.2,1958102.4
6,2.700000000000001,6480.000000000003,5045.38,7.71,-163837.2,138885.6,744331.2,1955222.4
6,2.800000000000001,6720.000000000003,5075.38,7.94,-179317.2,125205.6,734251.2,1952342.4
6,2.9000000000000012,6960.000000000003,5105.38,8.18,-194797.2,111525.6,724171.2,1949462.4
6,3.0000000000000013,7200.000000000004,5135.38,8.41,-210277.2,97845.6,714091.2,1946582.4
7,0.6,1440.0,4544.62,2.22,151717.2,424394.4,969748.8,2060457.6
7,0.7,1680.0,4579.62,2.57,133657.2,408434.4,957988.8,2057097.6
7,0.7999999999999999,1919.9999999999998,4614.62,2.91,115597.2,392474.4,946228.8,2053737.6
7,0.8999999999999999,2160.0,4649.62,3.25,97537.2,376514.4,934468.8,2050377.6
7,0.9999999999999999,2399.9999999999995,4684.62,3.59,79477.2,360554.4,922708.8,2047017.6
7,1.0999999999999999,2639.9999999999995,4719.62,3.92,61417.2,344594.4,910948.8,2043657.6
7,1.2,2880.0,4754.62,4.24,43357.2,328634.4,899188.8,2040297.6
7,1.3,3120.0,4789.62,4.56,25297.2,312674.4,887428.8,2036937.6
7,1.4000000000000001,3360.0000000000005,4824.62,4.87,7237.2,296714.4,875668.8,2033577.6
7,1.5000000000000002,3600.0000000000005,4859.62,5.19,-10822.8,280754.4,863908.8,2030217.6
7,1.6000000000000003,3840.000000000001,4894.62,5.49,-28882.8,264794.4,852148.8,2026857.6
7,1.7000000000000004,4080.000000000001,4929.62,5.79,-46942.8,248834.4,840388.8,2023497.6
7,1.8000000000000005,4320.000000000001,4964.62,6.09,-65002.8,232874.4,828628.8,2020137.6
7,1.9000000000000006,4560.000000000002,4999.62,6.38,-83062.8,216914.4,816868.8,2016777.6
7,2.0000000000000004,4800.000000000001,5034.62,6.67,-101122.8,200954.4,805108.8,2013417.6
7,2.1000000000000005,5040.000000000001,5069.62,6.96,-119182.8,184994.4,793348.8,2010057.6
7,2.2000000000000006,5280.000000000002,5104.62,7.24,-137242.8,169034.4,781588.8,2006697.6
7,2.3000000000000007,5520.000000000002,5139.62,7.52,-155302.8,153074.4,769828.8,2003337.6
7,2.400000000000001,5760.000000000002,5174.62,7.79,-173362.8,137114.4,758068.8,1999977.6
7,2.500000000000001,6000.000000000002,5209.62,8.06,-191422.8,121154.4,746308.8,1996617.6
7,2.600000000000001,6240.000000000003,5244.62,8.33,-209482.8,105194.4,734548.8,1993257.6
7,2.700000000000001,6480.000000000003,5279.62,8.59,-227542.8,89234.4,722788.8,1989897.6
7,2.800000000000001,6720.000000000003,5314.62,8.85,-245602.8,73274.4,711028.8,1986537.6
7,2.9000000000000012,6960.000000000003,5349.62,9.11,-263662.8,57314.4,699268.8,1983177.6
7,3.0000000000000013,7200.000000000004,5384.62,9.36,-281722.8,41354.4,687508.8,1979817.6
